CGPA,Package_LPA
5.04,2.7
5.1,2.48
5.11,3.44
5.11,3.28
5.15,2.42
5.2,2.84
5.21,3.15
5.28,3.18
5.31,1.95
5.4,3.09
5.41,2.21
5.42,1.8
5.43,4.43
5.45,1.8
5.46,3.56
5.5,2.2
5.55,1.8
5.57,1.85
5.61,3.28
5.62,3.62
5.67,2.7
5.67,2.18
5.69,3.61
5.73,1.96
5.74,5.0
5.77,1.8
5.8,2.54
5.82,4.6
5.85,3.51
5.91,4.55
5.93,1.88
5.96,6.19
5.97,1.8
6.03,3.16
6.09,2.43
6.09,3.59
6.12,3.67
6.28,3.06
6.28,1.8
6.31,4.4
6.35,2.28
6.38,2.52
6.41,3.67
6.45,1.8
6.46,4.75
6.47,3.33
6.5,3.42
6.56,5.17
6.58,5.49
6.59,3.41
6.66,1.8
6.7,3.71
6.74,6.24
6.78,3.24
6.78,4.07
6.83,3.74
6.86,2.6
6.95,3.61
6.96,3.14
7.0,4.34
7.07,4.21
7.1,5.59
7.1,2.48
7.11,4.24
7.11,4.4
7.13,6.52
7.14,3.07
7.16,3.82
7.16,5.23
7.19,3.97
7.2,1.8
7.22,3.39
7.24,2.69
7.25,7.14
7.26,3.79
7.27,5.88
7.28,5.96
7.32,3.68
7.34,3.91
7.36,4.14
7.37,6.67
7.41,4.11
7.5,4.58
7.66,5.48
7.66,3.96
7.67,7.42
7.68,4.15
7.71,10.46
7.73,4.52
7.74,4.76
7.78,4.31
7.79,5.18
7.8,4.7
7.82,3.38
7.84,5.74
8.01,5.24
8.03,3.17
8.03,5.3
8.05,4.91
8.09,3.8
8.12,4.94
8.18,5.26
8.19,4.03
8.19,6.63
8.21,8.77
8.22,3.63
8.28,5.84
8.28,5.28
8.34,4.55
8.35,3.98
8.36,3.83
8.36,7.16
8.38,5.3
8.44,4.13
8.45,6.44
8.47,4.46
8.57,5.26
8.64,5.29
8.64,6.02
8.65,5.42
8.67,3.98
8.71,6.78
8.74,5.06
8.74,7.57
8.75,5.0
8.76,5.91
8.76,7.76
8.77,7.65
8.78,6.02
8.86,7.4
8.91,4.09
8.95,4.98
8.97,6.91
8.99,5.42
9.0,7.77
9.1,5.73
9.11,5.36
9.12,5.83
9.29,5.08
9.33,5.83
9.36,9.64
9.44,6.7
9.45,5.05
9.5,6.19
9.6,5.32
9.62,8.74
9.64,6.98
9.65,7.06
9.66,5.92
9.68,6.14
