Hours_Studied,Exam_Score
1,46.02
2,43.09
3,51.63
4,60.98
5,49.38
6,51.93
7,69.08
8,65.34
9,58.29
10,69.34
11,64.34
12,67.47
13,76.39
14,62.49
15,67.45
16,80.3
17,80.35
18,94.71
19,88.79
20,88.7
21,115.78
22,106.39
23,112.99
24,105.4
25,116.89
26,126.69
27,121.24
28,138.21
29,135.24
30,142.67
31,145.24
32,170.02
33,160.34
34,157.34
35,177.83
36,167.03
37,184.12
38,172.52
39,183.42
40,201.57
41,211.96
42,213.57
43,217.52
44,222.39
45,219.42
46,232.04
47,240.76
48,259.66
49,260.8
50,250.9
51,274.64
52,276.12
53,281.03
54,298.69
55,309.5
56,316.25
57,309.74
58,321.73
59,334.7
60,347.8
61,344.22
62,354.71
63,355.6
64,363.23
65,387.75
66,400.65
67,397.87
68,415.23
69,418.94
70,419.84
71,436.94
72,455.5
73,452.16
74,474.32
75,450.29
76,487.38
77,491.15
78,497.81
79,510.78
80,504.1
81,528.29
82,543.06
83,562.27
84,556.65
85,564.78
86,577.79
87,599.77
88,605.83
89,609.81
90,629.11
91,636.83
92,654.95
93,652.83
94,667.18
95,678.11
96,681.09
97,706.82
98,718.29
99,728.09
100,738.12
